Title,Topic,Excerpt,Summary,Label
All that screen time is damaging my kids. How do I wean them off their devices? Ask Lisi,news,"Warn them of the physical harms — and be prepared to nag, Lisi advises.","QMy children are always on their devices. Yes, we have basic house rules, but they're teenagers. No phones before they leave for school, at the dinner table, or in their bedrooms after 11 p.m. That still leaves an abundance of hours that they can be on their devices.

I actually thought their high school had a 'no phones in the classroom' rule, similar to their elementary and middle schools. But apparently, I am wrong. There are no rules whatsoever regarding their phones.

Besides the obvious problem with all that technology, staring at a tiny screen all day, and filling their brains with garbage, I'm actually seeing their posture change.",Parenting
"Disrupting the Metaverse, Web 3.0 with Robert Lanteigne",news,"TAMPA, Fla. (PRWEB) February 28, 2023 -- Disruption Interruption podcast host and veteran communications disruptor Karla Jo Helms interviews Robert Lanteigne, an award-winning entrepreneur and founder…","The potential for positive, constructive, community-building activities in the metaverse is almost unimaginable and mostly untapped.
 
 
TAMPA, Fla. (PRWEB)
 
February 28, 2023
 
 Many young children can handle technology with more skill than their parents and grandparents, which makes monitoring their internet activity a challenge. Educational content online can increase a child's IQ, accelerate learning and develop problem-solving skills.(1) Still, cyberbullying, sexual predators, malware, and financial scams are justified parental concerns.",Education
"Disrupting the Metaverse, Web 3.0 with Robert Lanteigne",news,"Disruption Interruption podcast host and veteran communications disruptor Karla Jo Helms interviews Robert Lanteigne, an award-winning entrepreneur and founder of Sizzmic Transmedia — and learns about…","Disruption Interruption podcast host and veteran communications disruptor 
Karla Jo Helms
 interviews 
Robert Lanteigne
, an award-winning entrepreneur and founder of Sizzmic Transmedia — and learns about the potential of the metaverse to bridge younger and elder generations while providing constructive experiences for children.
TAMPA, Fla.
, 
Feb. 28, 2023
 /PRNewswire-PRWeb/ -- Many young children can handle technology with more skill than their parents and grandparents, which makes monitoring their internet activity a challenge.",In Society
#EdTechMonday: Stakeholders push for hybrid mode of teaching post-COVID,economics,Some education stakeholders are advocating for both traditional and online educational methods. They are of the opinion that a hybrid,"Some education stakeholders are advocating for both traditional and online educational methods.


They are of the opinion that a hybrid mode will guarantee pupil inclusion at all levels of education in the nation.


Panellists who participated in the February 2023 episode of Edtech Monday on 
Citi Breakfast Show
 strongly argued in favour of the hybrid choice as an effort to close the equity gap in access to education.


'The hybrid model is a viable option for children once they are able to access.",Education
"Mississippi Father Speaks Out On Son's Suicide, Blaming Instagram 'Sextortion'",news,"The Mississippi father of a teen boy who ended his own life due to online 'sextortion,' publicly cautioned parents to...","The Mississippi father of a teen boy who ended his own life due to online ""sextortion,"" publicly cautioned parents to be aware of their children's social media usage, as the national discussion on cyber security becomes a prominent topic.
 
 
Brian Montgomery experienced a terrible loss when his son Walker, aged 16, committed suicide due to being blackmailed with explicit images.
 
On ""America's Newsroom,"" Montgomery appeared to discuss the tragedy and explore how parents can take action to protect their children.",Parenting
Online platform will help global fight against child sexual exploitation material,news,"Having nudes online is scary, but now an online platform will help take them down.","A 
new online tool
 will help the global fight against intimate images of children being shared online.
 The National Center for Mission & Exploited Children​ (NCMEC) is the largest and most influential child protection organisation in the United States.
 It has now launched 
Take It Down
, a new platform designed to proactively prevent young people's intimate images from spreading online.
 Young people or anyone whose intimate images of when they were under 18 are able to submit a case that will proactively search for their intimate images on Facebook, Instagram, Only Fans, Yubo and PornHub.",In Society
"NCMEC Launches New Service That Can Help You ""Take It Down""",business,"New tool created to fight against exploitation and sextortion of minors. ALEXANDRIA, Va., Feb. 27, 2023 /PRNewswire/ -- The National Center for Missing & Exploited Children has created a powerful tool to help","New tool created to fight against exploitation and sextortion of minors.

ALEXANDRIA, Va., Feb. 27, 2023 /PRNewswire/ -- The National Center for Missing & Exploited Children has created a powerful tool to help children regain control. Today, the nation's leading child protection organization is announcing a new tool to combat child sexual exploitation and help kids remove their sexually explicit images from the internet. The groundbreaking platform, aptly named, Take It Down, is available now and allows users from around the world to submit a report that can help remove online nude, partially nude, or sexually explicit photos and videos depicting a child under 18 years old.",In Society
The best free parental control software for PCs and mobile,tech,Parental controls can keep your kids safe from the dangers of the internet. Here are the best free software options out there that can help you manage them.,"Everything in this world has gone digital, and that includes homework (if you have kids). If your children are young, you're probably not giving them laptops or free rein of the family computer yet. You're also probably not always able to monitor their screen activity, either.
 
 
Contents
 


What's next?
 
 


That's where parental control software comes in handy. Such software helps keep your kids safe from the dark web, and there are usually free options available for all operating systems. Keep reading to find out more.",Parenting
"NCMEC Launches New Service That Can Help You ""Take It Down""",news,"ALEXANDRIA, Va., Feb. 27, 2023 /PRNewswire/ -- The National Center for Missing & Exploited Children has created a powerful tool to help children regain control. Today, the nation's leading child protection organization is announcing a new tool to combat child sexual exploitation and help kids remove their sexually explicit images from the internet. The groundbreaking platform, aptly named, Take It Down, is available now and allows users from around the world to submit a report that can help remove online nude, partially nude, or sexually explicit photos and videos depicting a child under 18 years old.","New tool created to fight against exploitation and sextortion of minors.

ALEXANDRIA, Va., Feb. 27, 2023 /PRNewswire/ -- The National Center for Missing & Exploited Children has created a powerful tool to help children regain control. Today, the nation's leading child protection organization is announcing a new tool to combat child sexual exploitation and help kids remove their sexually explicit images from the internet. The groundbreaking platform, aptly named, Take It Down, is available now and allows users from around the world to submit a report that can help remove online nude, partially nude, or sexually explicit photos and videos depicting a child under 18 years old.",In Society
Online sharing etiquette for parents,news,"As kids become more digitally-savvy, parents play a big role in keeping their children safe online. It is crucial to be aware of the potential risks children are vulnerable to such as inappropriate content, online bullying and even exploitation. It's increasingly important for parents to be more vig","More from us:




PressReader 
 
























 
 


 














 
 


 
As kids become more digitally-savvy, parents play a big role in keeping their children safe online. It is crucial to be aware of the potential risks children are vulnerable to such as inappropriate content, online bullying and even exploitation. It's increasingly important for parents to be more vigilant about keeping their children safe online. Here are some basic rules parents can take to protect their children while they are online:




Talk about safety.",Parenting
"NCMEC Launches New Service That Can Help You ""Take It Down""",news,"/PRNewswire/ -- The National Center for Missing & Exploited Children has created a powerful tool to help children regain control. Today, the nation's leading...","New tool created to fight against exploitation and sextortion of minors.
ALEXANDRIA, Va.
, 
Feb. 27, 2023
 /PRNewswire/ -- The National Center for Missing & Exploited Children has created a powerful tool to help children regain control. Today, the nation's leading child protection organization is announcing a new tool to combat child sexual exploitation and help kids remove their sexually explicit images from the internet. The groundbreaking platform, aptly named, 
Take It Down
, is available now and allows users from around the world to submit a report that can help remove online nude, partially nude, or sexually explicit photos and videos depicting a child under 18 years old.",In Society
Tech giants ordered to explain efforts to combat child sexual abuse,news,"Twitter, TikTok and Google will be forced to answer questions about how they handle online sexual abuse in Australia or face hefty fines.","'s eSafety Commissioner Julie Inman Grant has issued legal notices to Twitter, TikTok and Google and two gaming platforms.
 Source: AAP / MICK TSIKAS
's eSafety commissioner has issued legal notices to Twitter, TikTok and Google and two gaming platforms. 
The companies have 35 days to respond to the commissioner's questions or risk fines of up to $687,000 a day.
Similar notices were issued to Apple, Meta, Microsoft, Snap and Omegle six months ago.
Twitter, TikTok and Google will be forced to answer questions about how they tackle child sexual abuse and blackmail attempts on their platforms after the n eSafety commissioner issued legal notices to the companies.",In Society
"Tech enthusiast develops ‘Shiksha', a teaching robot for children",economics,Mashelkar said that the idea to develop 'Shiksha' occurred to him during the covid induced lockdown when students stayed glued to mobile phones or computers for lessons online.,"A tech enthusiast in Sirsi, Karnataka has developed ‘Shiksha', a humanoid robot that can teach children up to class four, according to an official statement. The model is developed by Akshay Mashelkar, a post-graduate in physics with specialisation in electronics, the statement said. 'The model is ready but it has not been deployed anywhere officially. ‘Shiksha' can be a useful learning tool for students up to class four,' Mashelkar said.
 
Mashelkar said that the idea to develop ‘Shiksha' occurred to him during the covid induced lockdown when students stayed glued to mobile phones or computers for lessons online.",Education
