Tech Source,Tech Relation,API Source,Source Type,Source Name,Title,Source Description,Label,Publish Date
Video Games,mental health,Bing News API,NewsArticle,highlandernews.org,Blaming video games detracts from the actual causes of gun violence,"Since 1976, video games have been a point of controversy in society, especially in America. All of it centers around the moral panic that video games promote people, especially young men, to act out violently.",Mental Health,2023-01-31T17:13:00.0000000Z
Video Games,mental health,Bing News API,NewsArticle,Discover Magazine on MSN.com,Can Playing Video Games Make You Smarter?,"Most off-the-shelf video games do little to improve cognitive abilities. But certain well-designed ones can enhance proficiency at skills such as “task switching,” also known as multitasking.",In Society,2023-01-21T15:00:00.0000000Z
Video Games,parenting impact,Bing News API,NewsArticle,MSN,Why Playing Video Games with Your Kids Can Be Good for Them,"However, many parents are hesitant to allow their young children to play video games because they believe that it will have a negative impact on their development. But research has shown that ...",Parenting,2023-01-23T03:43:00.0000000Z
Video Games,K-12 AND (schools OR education),Bing News API,NewsArticle,Government Technology,Construct 3 Gets Kids into Coding by Building Video Games,"Scirra’s Construct 3 software allows middle and high school students to create 2D and 2.5D mobile and online video games. The tool is used in over 400 U.S. schools across 48 states, and other classrooms worldwide.",Education,2023-01-18T23:51:00.0000000Z
Social Media,child development,Bing News API,NewsArticle,Romper,"13 Is ""Too Early"" For Kids To Be On Social Media, Surgeon General Cautions","U.S. Surgeon General Vivek Murthy wants kids to stay off social media platforms until they’re 17 or 18 to protect them from potential mental harm. He also called for safety standards to be implemented during an interview with CNN,",Mental Health,2023-01-30T21:35:00.0000000Z
Social Media,child development,Bing News API,NewsArticle,Yahoo,Mom Says She Didn’t Know What Social Media Addiction Was Until It Was Too Late For Her Child,"Tammy says she didn’t know what social media addiction was until it was too late for her daughter, Selena, who was given a smartphone for her 10th birthday. “Within a few months, she started spending hours and hours on that phone,",In Society,2023-01-30T09:01:00.0000000Z
Social Media,child development,Bing News API,NewsArticle,KERO-TV,How social media is impacting brain development in teens,The use of social media may have an impact on brain development in children. Researchers at the University of North Carolina Chapel Hill analyzed brain scans of children 12 to 15 years old.,Mental Health,2023-01-18T20:19:00.0000000Z
Social Media,child development,Bing News API,NewsArticle,fox13now,Is keeping teens off social media unrealistic?,"According to a survey conducted by the University of Michigan, 49% of parents of children ages 10-12 report their kids having social media accounts.",In Society,2023-01-31T17:24:00.0000000Z
Social Media,teen impact,Bing News API,NewsArticle,UUHC Health Feed,The Impact of Social Media on Teens’ Mental Health,"Almost every teen now has an account on at least one social media platform. They use social media to reach out to friends, share experiences, and tell the world about themselves. However, without realizing it, they are managing an addiction. Jessica ...",In Society,2023-01-20T10:01:00.0000000Z
Social Media,teen impact,Bing News API,NewsArticle,Finance Quick Fix on MSN.com,"Nearly 40% Of Teens Find Social Media Drama ""Overwhelming""","Ever since social media started gaining popularity in the early 2010s, parents across the country have been worrying about the impact of social media on their children, especially their teens. It can be hard to monitor your child when there are so many corners of the internet to be connected to.",Parenting,2023-01-24T15:00:29.0000000Z
Social Media,teen impact,Bing News API,NewsArticle,Forbes,Teen Entrepreneurs - How ChatGPT Is Changing Their Education And How They Do Business,"It’s not hard to see how ChatGPT could be used by students, and why some teachers and school administrators are scrambling to catch cheating.",Education,2023-01-31T18:59:00.0000000Z
Social Media,teen impact,Bing News API,NewsArticle,Psychology Today,Social Media Often Makes Teens Feel Even More Alone,While the pandemic had a direct impact on everyone’s mental health ... have spent years studying the negative effects of social media on a teen’s developing brain. Be a good example: Our ...,Mental Health,2023-01-18T21:44:00.0000000Z
Social Media,teen impact,Bing News API,NewsArticle,MSN,Cornwall teen quits social media with powerful message to Gen Z,The Gen Z teen from Lostwithiel said combining ... to my friends it’s over the phone or text. Giving up social media has a positive impact on friendships. Now I think I have better friendships.,In Society,2023-01-28T11:18:00.0000000Z
Social Media,mental health,Bing News API,NewsArticle,MSN,Social media addiction and its impact on an individual’s mental health,"Too much time spent on social media, while its intended purpose of bringing people together, can lead to feelings of loneliness and isolation, as well as the worsening of mental health issues like anxiety and depression. The effects of social ...",Mental Health,2023-01-31T04:56:00.0000000Z
Social Media,mental health,Bing News API,NewsArticle,Christian Science Monitor,Social media giants face lawsuits over teen mental health concerns,The Supreme Court is scheduled to hear arguments next month on whether federal law protects the harmful content the tech industry pushes out through social media. Public entities seek to hold them accountable for the mental health crisis among youth.,In Society,2023-01-20T15:44:00.0000000Z
Social Media,K-12 AND (schools OR education),Bing News API,NewsArticle,Phys.org,"Three out of four parents say social media is a major distraction for students, according to new study","The vast majority of parents believe social media is a major distraction for students, according to a new nationwide study.",Education,2023-01-17T17:42:00.0000000Z
Social Media,K-12 AND (schools OR education),Bing News API,NewsArticle,EdTech,Teachers on TikTok: What K–12 IT Departments Need to Know,"Click the banner to explore the full list of 2022 K–12 IT influencers. Connections like these are exactly why Keller is a huge fan and user of TikTok and other social media platforms, which help educators find ideas — and each other.",Education,2023-01-23T17:01:00.0000000Z
Social Media,K-12 AND (schools OR education),Bing News API,NewsArticle,The Whit,NJ passes new K-12 Media Literacy Requirement,The state of New Jersey passed legislation that will require K-12 students to be educated on the subject of media literacy. Governor Phil Murphy signed the legislation into law on Jan. 4 of this,Education,2023-01-26T03:34:00.0000000Z
Social Media,K-12 AND (schools OR education),Bing News API,NewsArticle,Daily Targum,New Jersey to add media literacy curriculum in K-12 schools,"Gov. Phil Murphy (D-N.J.) signed legislation making New Jersey the first state to require K-12 schools to teach skills that will improve media literacy and students’ ability to decipher between accurate and false information,",Education,2023-01-27T05:16:00.0000000Z
Social Media,K-12 AND (schools OR education),Bing News API,NewsArticle,Nextgov,CISA Releases Guide to Help Safeguard K-12 Schools from Cyber Threats,"CISA’s report, which was mandated by the K-12 Cybersecurity Act of 2021, outlined a variety of steps that primary and secondary schools can take to bolster their cyber defenses.",Education,2023-01-24T20:52:00.0000000Z
Social Media,K-12 AND (schools OR education),Bing News API,NewsArticle,Daily Camera,Editorial: We need a functioning democracy. Teaching media literacy can help.,Teaching media literacy is one way to not only inoculate future generations from falling for misinformation but to also help solve the problems left behind by today’s leaders.,Education,2023-01-24T12:00:00.0000000Z
Tablet OR iPad OR iPhone OR smart phone,mental health,Bing News API,NewsArticle,Washington Examiner,Mental health ranks as top concern for parents: Study,"Mental health concerns topped physical threats to children, such as alcohol/drugs, teenage pregnancy, and getting",Mental Health,2023-01-31T20:46:00.0000000Z
