,Tech Source,Tech Relation,API Source,Source Type,Source Name,Title,Source Description,Publish Date
18,Technology,mental health,Bing News API,NewsArticle,The Financial Express,The social taboo of seeking mental health advice – How technology can create a fine balance between societal norms and healthcare improvement,"The use of the Internet to access and assemble health records could give a provider improved information for treatment purposes, regardless of whether the patient is a regular client or a stranger.",2023-01-30T02:30:00.0000000Z
19,Technology,mental health,Bing News API,NewsArticle,The Independent,How to stop technology harming your child’s mental health,"Here are some of the top tips I’ve developed as a mental health professional, to set healthy boundaries for children when it comes to technology: First of all, be kind to yourself. As parents ...",2023-01-24T17:40:00.0000000Z
20,Technology,mental health,Bing News API,NewsArticle,HealthTech,Healthcare Technology: Top Gadgets to Help Your Health and Mental Well-Being,"Technology has become a huge part of our lives, and it''s no surprise that it has made its way into the healthcare industry as well. From apps to track your sleep patterns to gadgets that help you stay fit;",2023-01-26T16:13:00.0000000Z
21,Technology,mental health,Bing News API,NewsArticle,MarketWatch,Mental Health Technology Market 2023 Expected to Reach Significant Rate by 2029,"[Report Contain 123 Pages] “The Mental Health Technology market has witnessed growth from USD million to USD million from 2017 to 2022. With the CAGR of %, this market is estimated to reach USD ...",2023-01-20T18:17:00.0000000Z
22,Technology,mental health,Bing News API,NewsArticle,The Indian Express,Mental health support: ST commission seeks IIT-Bombay’s response to allegations by student body,THE NATIONAL Commission for Scheduled Tribes (NCST) has taken cognisance of a complaint filed by Ambedkar Periyar Phule Study Circle (APPSC) at the Indian Institute of Technology Bombay on the lack of mental health support for SC/ST students at the institute.,2023-01-31T19:38:00.0000000Z
23,Technology,mental health,Bing News API,NewsArticle,ScreenRant on MSN.com,Mental Health Site Using AI Chatbot Shows Why We Need Stricter Regulations,"Mental health support provider Koko recently came under fire for answering some users’ messages with AI, an act that calls for more laws.",2023-01-25T17:00:14.0000000Z
24,Technology,mental health,Bing News API,NewsArticle,The Hindu,NCST notice to IIT-Bombay director over lack of mental health support for SC/ST students,"ST panel seeks action-taken report in 3 days, failing which it may exercise powers of civil court to issue summons",2023-01-31T14:31:00.0000000Z
25,Technology,parenting impact,Bing News API,NewsArticle,KFOR-TV Oklahoma City on MSN.com,"With ChatGPT rising in popularity, what's a parent to do?","The new AI technology has become so popular that some schools have banned it as it makes its way into the lives of K-12 and college students around the U.S. It has made headlines for its humanlike and unique responses to questions,",2023-01-29T16:13:18.0000000Z
26,Technology,parenting impact,Bing News API,NewsArticle,goodmorningwilton,Wilton Youth Council Presents Two Age-Based Webinars for Parenting in a Digital World,"Wilton Youth Council will be welcoming back Diana Graber, author and recognized expert on technology’s impact on human behavior, for two age-based, instructive and enlightening webinars on parenting in a",2023-01-31T11:21:00.0000000Z
27,Technology,parenting impact,Bing News API,NewsArticle,Phys.org,Why the tween years are a 'golden opportunity' to set up the way you parent teenagers,"The teenage years can be among the trickiest times for a parent. You have been used to being your child's voice of reason. Then, all of a sudden, your authority is challenged by their peers, social media and huge developmental changes.",2023-01-24T18:20:00.0000000Z
28,Technology,parenting impact,Bing News API,NewsArticle,MarketWatch,Parenting Apps Market To Eyewitness Steady Growth Throughout 2023-2026,Pre and Post Covid Report Is Covered | Final Report Will Add the Analysis of the Impact of Russia-Ukraine War and,2023-01-25T00:27:00.0000000Z
29,Technology,parenting impact,Bing News API,NewsArticle,MarketWatch,Parenting Apps Market Size 2023 Will Touch A New Level In The Upcoming Year 2026,Pre and Post Covid Report Is Covered | Final Report Will Add the Analysis of the Impact of Russia-Ukraine War and,2023-01-27T00:35:00.0000000Z
30,Technology,parenting impact,Bing News API,NewsArticle,The Business Journals,In Her Own Words: Mariel Reed mixes public procurement and parenting,"For government technology entrepreneur Mariel Reed, becoming a parent while starting a business during Covid-19 helped her establish a healthier relationship with her work and redefine what it means to build a legacy.",2023-01-30T13:12:00.0000000Z
31,Technology,parenting impact,Bing News API,NewsArticle,Pew Research Center,Parenting in America Today,"Pew Research Center conducted this study to better understand how American parents approach parenting. This analysis is based on 3,757 U.S. parents with children under age 18. The data was collected as part of a larger survey of parents with children ...",2023-01-24T00:01:00.0000000Z
32,Technology,parenting impact,Bing News API,NewsArticle,SheKnows,Brand New Insights From Pew Research Show How Parenting Differs for Moms vs. Dads,"and it’s a fascinating glimpse into the modern parenting dynamic. The study surveyed nearly 4,000 parents with kids under 18 from all walks of life (according to Pew, their surveys are ...",2023-01-25T14:04:00.0000000Z
33,Technology,parenting impact,Bing News API,NewsArticle,The Straits Times,How this institute is empowering professionals for the digital age,"NUS-ISS’s flexible programmes, including data science, smart health and start-up tech, focus on helping students to develop not just technical expertise, but also the ability to analyse and strategise.",2023-01-28T20:00:00.0000000Z
34,Technology,parenting impact,Bing News API,NewsArticle,Fortune on MSN.com,"The future of finance will include generative A.I., says an MIT researcher","I think, increasingly, we're going to be seeing generative A.I. used for financial forecasts and scenario generation,” Michael Schrage, a research fellow at the MIT Sloan School Initiative on the Digital Economy,",2023-01-25T12:50:38.0000000Z
35,Technology,K-12 AND (schools OR education),Bing News API,NewsArticle,EdTech,Answers to Commonly Asked E-Rate Questions for K–12 Leaders,"Strategic infrastructure planning takes on greater importance in the wake of COVID-19, as Emergency Connectivity Funds and Elementary and Secondary School Emergency Relief dollars vanish.",2023-01-31T20:47:00.0000000Z
36,Technology,K-12 AND (schools OR education),Bing News API,NewsArticle,The Journal,New CISA K-12 Cyber Report: Leaders – Not Just IT Staff – Must Be Involved in Security Strategy,"The federal Cybersecurity and Infrastructure Security Agency this week released its long-awaited K–12 report and guide for public schools, “Partnering to Safeguard K–12 Organizations from Cybersecurity Threats,",2023-01-26T23:11:00.0000000Z
37,Technology,K-12 AND (schools OR education),Bing News API,NewsArticle,EdTech,"FETC 2023: As Technology Impacts Trillions of People, It Must Be Inclusive","Author, CEO and arithmetician Anne-Marie Imafidon highlighted the importance of embracing curiosity, transparency and arts in the classroom.",2023-01-27T21:06:00.0000000Z
38,Technology,K-12 AND (schools OR education),Bing News API,NewsArticle,Campus Safety Magazine,This K-12 Cybersecurity Resource Offers Useful Guidance for School IT Professionals,The U.S. Cybersecurity & Infrastructure Security Agency has released a report to help keep K-12 organizations secure.,2023-01-26T16:08:00.0000000Z
39,Technology,K-12 AND (schools OR education),Bing News API,NewsArticle,Nextgov,CISA Releases Guide to Help Safeguard K-12 Schools from Cyber Threats,"CISA’s report, which was mandated by the K-12 Cybersecurity Act of 2021, outlined a variety of steps that primary and secondary schools can take to bolster their cyber defenses.",2023-01-24T20:52:00.0000000Z
40,Technology,K-12 AND (schools OR education),Bing News API,NewsArticle,MarketWatch,K-12 Online Education Service Market Will Touch New Level In Upcoming Year | 104 Report Pages,"Jan 30, 2023 (The Expresswire) -- K-12 Online Education Service Market 2023 with 104 Pages Report ... quality and modernism in technology. In order to better understand Market condition five forces analysis is conducted that includes Bargaining power ...",2023-01-31T01:05:00.0000000Z
41,Technology,K-12 AND (schools OR education),Bing News API,NewsArticle,devdiscourse,"G20 Edn Working Group begins, Leverage technology to achieve common educational targets, says Union Higher Education Secy",The idea is to enable the Education Working Group to broad base its discussions with enriching inputs from sector experts and from all G20 member and invited countries.The exhibition is intended to make the sharing of best experiences more tangible and effective.,2023-01-31T16:01:00.0000000Z
42,Technology,K-12 AND (schools OR education),Bing News API,NewsArticle,Homeland Security Today,CISA Releases Report for K-12 Schools to Help Address Evolving Cybersecurity Threats,"CISA provides three recommendations in the report to help K-12 leaders build, operate, and maintain resilient cybersecurity programs.",2023-01-24T19:36:00.0000000Z
43,Technology,K-12 AND (schools OR education),Bing News API,NewsArticle,RPI News,RPI To Host 24th Annual Black Families Technology Awareness Day on February 4,"Rensselaer Polytechnic Institute (RPI) will hold its 24th annual Black Families Technology Awareness Day on Saturday, February 4. The event, free and open to the public, is designed to introduce historically underrepresented students in grades K-12,",2023-01-27T00:01:00.0000000Z
44,Technology,K-12 AND (schools OR education),Bing News API,NewsArticle,The Saratogian,RPI to host 24th annual Black Families Technology Awareness Day,"TROY, N.Y. — Rensselaer Polytechnic Institute (RPI) is holding its 24th annual Black Families Technology Awareness Day on Feb. 4. The event is free and open to the public. Its aim is to introduce h…",2023-01-30T11:00:00.0000000Z
45,Video Games,child development,Bing News API,NewsArticle,MSN,Why Playing Video Games with Your Kids Can Be Good for Them,"Finally, playing video games with your child can also be a great way to ... still engaging in other important activities for their development. Another way to prevent video game addiction is ...",2023-01-23T03:43:00.0000000Z
46,Video Games,child development,Bing News API,NewsArticle,Dexerto.com,3-year-old Call of Duty “beast” goes viral and divides the internet,"A three-year-old Call of Duty player is taking over the internet with his incredible skill, but not everyone is happy about it.",2023-01-24T23:22:00.0000000Z
47,Video Games,child development,Bing News API,NewsArticle,YAHOO!News,"6 of the most important development milestones for children, as Princess of Wales launches campaign","The Princess of Wales has unveiled her latest project, said to be her ‘life’s work’, focusing on how childhood experiences impact adult lives. The Shaping Us campaign, introduced with a claymation video showing a young girl growing from the age of zero to five,",2023-01-31T04:30:00.0000000Z
48,Video Games,child development,Bing News API,NewsArticle,The Financial Express,Video gaming: Women at play,"It’s not just guns and gore in the world of video gaming any longer. As gaming attracts people across ages and gender, women are also taking to it as a form of relaxation, social connect and even a profession.",2023-01-29T04:06:00.0000000Z
49,Video Games,child development,Bing News API,NewsArticle,GameSpot,"The Sims 5 Has Started Playtesting, More Shared In New Video","Project Rene, which may end up being called The Sims 5, has started some small playtests. A new video series, Behind The Sims, will continue to show off upcoming features in the Sims franchise. This video discusses Project Rene,",2023-01-31T19:05:00.0000000Z
50,Video Games,child development,Bing News API,NewsArticle,vg247,"Final Fantasy 7 at 26: Kitase on being inspired by Nintendo, discarded concepts, and Rebirth changes to come","In an exclusive interview, Yoshinori Kitase sheds some light Final Fantasy 7's development – and hints at changes to come in the Remake series' future.",2023-01-31T16:03:00.0000000Z
51,Video Games,child development,Bing News API,NewsArticle,Windows Central,Xbox head Phil Spencer applauds devs for releasing games in the culture of 'cancellation',"During the show Phil Spencer was granted the Andrew Yoon Legend Award. Spencer's acceptance speech discussed his origins as a gamer and the joys of gaming. However, Spencer controversially praised developers for releasing their games amid the ""current culture of criticism and cancellation.",2023-01-19T22:00:00.0000000Z
52,Video Games,child development,Bing News API,NewsArticle,Yahoo News Australia,Footage of 3-year-old playing violent video game shocks internet,Footage of a toddler playing Call of Duty has stunned viewers. Here's what an expert says of the controversial clip.,2023-01-20T03:21:00.0000000Z
53,Video Games,child development,Bing News API,NewsArticle,GameSpot,HBO's The Last Of Us Has A Cool Idea The Games Could Use,"HBO's The Last of Us introduced a twist that would be an excellent addition to the games. Before the release of HBO’s The Last of Us, a TV adaptation of one of the most acclaimed games of all time, many on the internet were ready to deride the show before having seen an episode--partly because the history of live action video game adaptations has been a mixed bag at best,",2023-01-24T21:34:00.0000000Z
54,Video Games,child development,Bing News API,NewsArticle,Bounding Into Comics,Video Game News Outlets Rehash Tired Whining About ‘Persona 3’ And ‘Persona 4’ After Remasters Release For Modern Consoles,Persona 3 Portable' and 'Persona 4 Golden' are once again facing accusations of bigotry from the mainstream video game news media.,2023-01-30T22:28:00.0000000Z
55,Video Games,teen impact,Bing News API,NewsArticle,Inverse on MSN.com,"8 Years Later, Square Enix's Supernatural Teen Drama Remains Timeless",Square Enix's supernatural exploration of identity and choice in high school still feels relevant almost a decade later.,2023-01-31T18:30:14.0000000Z
56,Video Games,teen impact,Bing News API,NewsArticle,Frenz Hub on MSN.com,Virtual Heartbreak: The Trauma of Falling in Love with Video Game Characters,"Players often develop intense relationships with virtual characters. If those relationships go awry, the results can lead to real-world trauma.",2023-01-22T13:48:11.0000000Z
57,Video Games,teen impact,Bing News API,NewsArticle,Sydney Morning Herald,The 15 best video games of 2022,"The video game industry in 2022 continued to feel ... Here, in no particular order, are our picks for the most excellent games released this year. Android, iOS, PC “Licensed free-to-play online ...",2023-01-02T19:00:00.0000000Z
58,Video Games,teen impact,Bing News API,NewsArticle,UUHC Health Feed,The Impact of Social Media on Teens’ Mental Health,"And among males aged 15-24, the number of suicides rose by 30 percent over that same time period. Almost every teen now has an account on at least one social media platform. They use social media to reach out to friends, share experiences, and tell the ...",2023-01-20T10:01:00.0000000Z
59,Video Games,teen impact,Bing News API,NewsArticle,Billings Gazette,Film detailing technology's impact on teen mental health to be screened Thursday,"The film follows “Screenagers: Growing up in the Digital Age,” which was released in 2016 and explored the impact of screen technology on kids and offered parents and families proven solutions.",2023-01-04T00:07:00.0000000Z
60,Video Games,teen impact,Bing News API,NewsArticle,AV Club,Who's Next: 18 rising stars who'll be lighting up the screen in 2023,The A.V. Club shines a light on the impressive young actors who'll be starring this year in blockbuster films and white-hot shows,2023-01-30T18:00:00.0000000Z
61,Video Games,teen impact,Bing News API,NewsArticle,vg247,The best Life is Strange game is on PlayStation Plus right now – and it’s not what you think,"There is a lot of prestige attributed to Dontnod its Life Is Strange, but perhaps one of the best games in the series comes from somewhere else entirely.",2023-01-24T17:00:00.0000000Z
62,Video Games,teen impact,Bing News API,NewsArticle,IGN,The Dirge of Bilqis Quest Walkthrough,"The Dirge of Bilqis World Quest needs to be completed to unlock Genshin Impact’s new underground areas added in version 3.4, and we’re here to guide you through it. This quest can only be ...",2023-01-29T22:16:00.0000000Z
63,Video Games,teen impact,Bing News API,NewsArticle,Washingtonian,7 Things to Know About Skater Ilia Malinin,"Malinin became the first person (and remains the only person) ever to land a quadruple axel—a dizzying four-and-a-half rotations—in competition, rightly earning him the self-given nickname “quadg0d,” which he initially chose as the handle for his Instagram account,",2023-01-31T16:14:00.0000000Z
64,Video Games,teen impact,Bing News API,NewsArticle,IGN,Dehya Ascension Materials Guide,Looking for Genshin Impact Dehya Ascension Materials? Dehya is an upcoming 5-star character in Genshin Impact that weilds the claymore together with a pyro vision. Dehya's ascension materials ...,2023-01-24T07:00:00.0000000Z
65,Video Games,mental health,Bing News API,NewsArticle,The Mirror,'Heavy gaming is not linked to mental health issues in the majority of teenagers',Dr Miriam Stoppard shares reassuring results from Oxford University that suggest spending hours gaming each day does not lead to wellbeing and anxiety problems. But teens who already have mental healt,2023-01-30T18:02:00.0000000Z
66,Video Games,mental health,Bing News API,NewsArticle,highlandernews.org,Blaming video games detracts from the actual causes of gun violence,"Since 1976, video games have been a point of controversy in society, especially in America. All of it centers around the moral panic that video games promote people, especially young men, to act out violently.",2023-01-31T17:13:00.0000000Z
67,Video Games,mental health,Bing News API,NewsArticle,Business Insider on MSN.com,Google engineer who was laid off while on mental health leave says she 'silently mourned' after receiving her severance email at 2 a.m.,"Ali Neil, a Google engineer, said she called a friend, drank some whiskey, and ""silently mourned"" the layoff until the morning.",2023-01-31T12:38:10.0000000Z
68,Video Games,mental health,Bing News API,NewsArticle,The Sun,Best way to win at video games and chess revealed in study,"PLAYERS of inactive sports like chess or video games can boost their performance levels by exercising, according to a study. An experiment saw 77 physically inactive mind gamers from 21 countries",2023-01-19T07:25:00.0000000Z
69,Video Games,mental health,Bing News API,NewsArticle,Discover Magazine on MSN.com,Can Playing Video Games Make You Smarter?,"Most off-the-shelf video games do little to improve cognitive abilities. But certain well-designed ones can enhance proficiency at skills such as “task switching,” also known as multitasking.",2023-01-21T15:00:00.0000000Z
70,Video Games,mental health,Bing News API,NewsArticle,The Financial Express,Video gaming: Women at play,"It’s not just guns and gore in the world of video gaming any longer. As gaming attracts people across ages and gender, women are also taking to it as a form of relaxation, social connect and even a profession.",2023-01-29T04:06:00.0000000Z
71,Video Games,mental health,Bing News API,NewsArticle,WGN-TV,Chicago Wolves devote January to ‘Mental Health Awareness’ initiative,"The AHL’s Chicago Wolves are taking the month of January to focus on mental health in a number of ways, from social media messages to fundraising for charities.",2023-01-28T00:38:00.0000000Z
72,Video Games,mental health,Bing News API,NewsArticle,Hypebeast,ASICS' 'Mind Games: The Experiment' Explores the Link Between Mental Performance and Physical Exercise,"Following the journeys of world-class ""mind athletes"" in chess, mahjong, Esports and memory games as they introduce physical activity into their training routines.",2023-01-19T19:27:00.0000000Z
73,Video Games,mental health,Bing News API,NewsArticle,CTV News,Share the Love for Mental Health online auction helps support youth mental health in Windsor-Essex,"The Valentine's Day season takes on an extra special meaning this year with the focus on supporting mental health in the community. The ""Share the Love for Mental Health"" online auction of the Stigma Enigma community mental health advocacy organization is already underway.",2023-01-30T23:57:00.0000000Z
74,Video Games,mental health,Bing News API,NewsArticle,The Mirror,"New documentary shows how exercise can boost performance in inactive sports, like chess",Physically inactive mind gamers from around the world took part in the experiment - showing how 150 minutes of exercise a week improved their performance,2023-01-19T10:36:00.0000000Z
75,Video Games,parenting impact,Bing News API,NewsArticle,MSN,Why Playing Video Games with Your Kids Can Be Good for Them,"However, many parents are hesitant to allow their young children to play video games because they believe that it will have a negative impact on their development. But research has shown that ...",2023-01-23T03:43:00.0000000Z
76,Video Games,parenting impact,Bing News API,NewsArticle,Business Insider India on MSN.com,"If your kid lies, sneaks around, or is afraid of your criticism, you may be an authoritarian parent","Authoritarian parents see themselves as ""the boss"" and offer little warmth — which can hurt kids' self-esteem, mental health, and quality of life.",2023-01-31T19:50:00.0000000Z
77,Video Games,parenting impact,Bing News API,NewsArticle,WebMD,"Video Game Addiction: Noticing Warning Signs, Getting Help","“I began spending more and more time playing video games in what I now know was a gaming addiction,” he says in an interview. “At first, I didn’t play all that much, and still put school ...",2023-01-24T08:01:00.0000000Z
78,Video Games,parenting impact,Bing News API,NewsArticle,Washington Examiner,"Psst, parents: There’s something between co-parenting with the government and going it alone","If you follow the parenting discourse these days ... limits on how many hours young people can spend playing online video games. Ironically, the tight control of the Communist Party surveillance ...",2023-01-25T21:45:00.0000000Z
79,Video Games,parenting impact,Bing News API,NewsArticle,The Independent,"6 of the most important development milestones for children, as Princess of Wales launches campaign","The Princess of Wales has unveiled her latest project, said to be her ‘life’s work’, focusing on how childhood experiences impact adult lives. The Shaping Us campaign, introduced with a claymation video showing a young girl growing from the age of zero to five,",2023-01-31T04:30:00.0000000Z
80,Video Games,parenting impact,Bing News API,NewsArticle,The Daily Telegraph,Labor promises $2.5m research fund to tackle screen addiction,"Labor Leader Chris Minns has pledged to crackdown on screen addiction in kids if he wins the March election, announcing a new research fund to investigate the impact phones and video games are having on young people.",2023-01-26T06:30:00.0000000Z
81,Video Games,parenting impact,Bing News API,NewsArticle,Pew Research Center,Parenting in America Today,"Pew Research Center conducted this study to better understand how American parents approach parenting. This analysis is based on 3,757 U.S. parents with children under age 18. The data was collected as part of a larger survey of parents with children ...",2023-01-24T00:01:00.0000000Z
82,Video Games,parenting impact,Bing News API,NewsArticle,Psychology Today,Parallel Parenting with a Narcissist,"Many courts will request ""co-parenting,"" which is commonly done when both parents are self-aware and willing to work together. Of course, this is the best situation for raising children.",2023-01-19T17:07:00.0000000Z
83,Video Games,parenting impact,Bing News API,NewsArticle,SheKnows,Ciara’s Rare Video of Her Son Future Shows He May Be Following in His Stepfather’s Footsteps,"On Jan 26, the Why Not You co-author shared a touching video of her eldest son Future with trainer Decker Davis practicing football with the caption, “The young boy cold. Too Easy 略.”",2023-01-28T18:51:00.0000000Z
84,Video Games,parenting impact,Bing News API,NewsArticle,WFLA News Channel 8,Positive Parenting,Farron Hipp the co-host of WFLA’s Daytime joined Gayle Guyardo the host of the global health and wellness show Bloom to share her parenting journey. Farron and her wife Colleen adopted a baby ...,2023-01-20T22:30:00.0000000Z
85,Video Games,K-12 AND (schools OR education),Bing News API,NewsArticle,Government Technology,Construct 3 Gets Kids into Coding by Building Video Games,"Scirra’s Construct 3 software allows middle and high school students to create 2D and 2.5D mobile and online video games. The tool is used in over 400 U.S. schools across 48 states, and other classrooms worldwide.",2023-01-18T23:51:00.0000000Z
86,Video Games,K-12 AND (schools OR education),Bing News API,NewsArticle,eSchool News,5 of the biggest education trends in 2023,"With the start of a new year and education conference season just beginning, educators and industry leaders are discovering the biggest education trends for 2023. The past few years have seen a",2023-01-30T10:01:00.0000000Z
87,Video Games,K-12 AND (schools OR education),Bing News API,NewsArticle,Side Hustle Nation on MSN.com,Make Money Playing Video Games: 15 Ways to Get Paid (Up to $4000/mo!),"There are lots of creative ways to turn your video game hobby into a money-making venture. And you don't need to be the best player in the world, either!",2023-01-20T17:49:22.0000000Z
88,Video Games,K-12 AND (schools OR education),Bing News API,NewsArticle,VTDigger,"After racist taunting, fans banned from BFA-Fairfax boys basketball games","BFA-Fairfax officials said the incident occurred after the final buzzer, when BFA student fans spilled onto the basketball court, but not only students were involved.",2023-01-20T21:41:00.0000000Z
89,Video Games,K-12 AND (schools OR education),Bing News API,NewsArticle,theeducatoronline.com,There’s a new digital divide in Australia’s schools – here’s what’s driving it,"The study, by the Australian Catholic University ’s Institute for Learning Sciences and Teacher Education, focused on the impact of SES, self-identified sex, and self-reported self-efficacy – or a “triad of influences” – to determine their impact on students’ self-perceptions about digital technologies and gaming.",2023-01-24T16:00:00.0000000Z
90,Video Games,K-12 AND (schools OR education),Bing News API,NewsArticle,The Washington Post on MSN.com,Sen. Warner's cyber priority this year is health care,"First:    In a Q&A, Sen. Mark Warner stresses more cybersecurity in health care, describes his broadening TikTok concerns    Senate Intelligence Committee Chairman Mark R. Warner (D-Va.) is one of the leading cybersecurity lawmakers on the Hill,",2023-01-25T12:19:13.0000000Z
91,Video Games,K-12 AND (schools OR education),Bing News API,NewsArticle,EdTech,"FETC 2023: As Technology Impacts Trillions of People, It Must Be Inclusive","Author, CEO and arithmetician Anne-Marie Imafidon highlighted the importance of embracing curiosity, transparency and arts in the classroom.",2023-01-27T21:06:00.0000000Z
92,Video Games,K-12 AND (schools OR education),Bing News API,NewsArticle,eSchool News,How computer science education bridges the digital divide,"Amid the havoc that the pandemic wreaked on our lives, there were important lessons to be learned. It proved that people skilled with technology could navigate and succeed, and that many of the",2023-01-24T08:56:00.0000000Z
93,Video Games,K-12 AND (schools OR education),Bing News API,NewsArticle,U.S. News & World Report,Find the Best K-12 Schools for You,"The U.S. News & World Report K-12 directory encompasses ... at the top 1,000 public high schools to identify the best in science, technology, engineering and math education.",2021-04-01T09:37:00.0000000Z
94,Video Games,K-12 AND (schools OR education),Bing News API,NewsArticle,Houston Chronicle,"Texans to have second interviews with Mike Kafka, Ejiro Evero","The Texans will interview Giants offensive coordinator Mike Kafka and Broncos defensive coordinator Ejiro Evero for a second time for their coaching vacancy on Wednesday, several people with knowledge of the meetings confirmed.",2023-01-24T19:56:00.0000000Z
95,Social Media,child development,Bing News API,NewsArticle,Psychology Today,Social Media Use and 'Divergent' Brain Development,"A recent study found an association between brain activation patterns over time and amount of social media use but firm conclusions were limited. There are plenty of indications that youth today are struggling quite a bit with their mental health,",2023-01-24T23:44:00.0000000Z
