Tech Source,Tech Relation,API Source,Source Name,Title,Author,Label,Source Description,Source Content,Publish Date
technology,children,NewsAPI,Business Wire,"Stride, Inc. Earns Two Digital Education Awards",,Education,"RESTON, Va.--(BUSINESS WIRE)---- $LRN #Award--Stride, Inc. (NYSE: LRN), one of the nation’s leading technology-based education companies, has been awarded two year-end 2022 Digital Education Awards. Stride Learning Solutions was the winner of The Children’s H…","RESTON, Va.--(BUSINESS WIRE)--Stride, Inc. (NYSE: LRN), one of the nations leading technology-based education companies, has been awarded two year-end 2022 Digital Education Awards.
Stride Learning … [+4127 chars]",2023-01-05T14:40:32Z
technology,children,NewsAPI,Independent.ie,Dublin school is the first to use VR lessons for students with autism,Azmia Riaz,Education,"A Dublin school using virtual reality to teach children with autism, has called for more funding for the use of technology in special needs education.","A Dublin school using virtual reality to teach children with autism, has called for more funding for the use of technology in special needs education.
The Setanta School in Greenhills, Dublin 12, be… [+2606 chars]",2023-01-04T15:17:49Z
technology,children,NewsAPI,VOA News,"As Children in US Study Online, Apps Watch Their Every Move",webdesk@voanews.com (Thomson Reuters Foundation),Education,"For New York teacher Michael Flanagan, the pandemic was a crash course in new technology — rushing out laptops to stay-at-home students and shifting hectic school life online.


Students are long back at school, but the technology has lived on, and with it ha…","Washington  For New York teacher Michael Flanagan, the pandemic was a crash course in new technology rushing out laptops to stay-at-home students and shifting hectic school life online.
Students are… [+6328 chars]",2023-01-29T08:00:46Z
technology,children,NewsAPI,Axios,Social media's effects on teen mental health comes into focus,Jennifer A. Kingson,Mental Health,"Experts are increasingly warning of a connection between heavy social media use and mental health issues in children — a hot topic now driving major lawsuits against tech giants. Why it matters: Seattle Public Schools' recently filed lawsuit against TikTok, M…","Experts are increasingly warning of a connection between heavy social media use and mental health issues in children a hot topic now driving major lawsuits against tech giants. 
Why it matters: Seat… [+4637 chars]",2023-01-11T10:45:34Z
technology,children,NewsAPI,The Punch,NGO advises govt on edutech,Tunde Oyekola,Education,"Against the backdrop that Nigeria has the highest number of out-of-school children in the world, a Civil Society Organisation; Brain Builders Youth Development Initiative has urged stakeholders to work together and make education technology in the country a r…","Against the backdrop that Nigeria has the highest number of out-of-school children in the world, a Civil Society Organisation; Brain Builders Youth Development Initiative has urged stakeholders to wo… [+1991 chars]",2023-01-05T23:39:32Z
technology,children,NewsAPI,Biztoc.com,Elevate Prize expands to 12 winners in 2023 for strong field,apnews.com,In Society,"The winners of this year’s Elevate Prize include social entrepreneurs who help Detroit children for school, build technology labs in rural Kenya, and improve road safety in India. The Elevate Prize Foundation announced 12 winners Monday, instead of the usual …","The winners of this years Elevate Prize include social entrepreneurs who help Detroit children for school, build technology labs in rural Kenya, and improve road safety in India.The Elevate Prize Fou… [+320 chars]",2023-01-23T15:02:05Z
technology,children,NewsAPI,Slashdot.org,Tech-Backed Code.org Bringing BBC Micro:bit To US K-5 Classrooms,BeauHD,Education,"theodp writes: On Tuesday, the Micro:bit Educational Foundation, a UK-based education non-profit ""on a mission to inspire all children to achieve their best digital future,"" announced a partnership with US-based and tech giant-backed nonprofit Code.org to off…","On Tuesday, the Micro:bit Educational Foundation, a UK-based education non-profit ""on a mission to inspire all children to achieve their best digital future,"" announced a partnership with US-based an… [+1780 chars]",2023-01-19T10:00:00Z
technology,children,NewsAPI,Detroit Free Press,Michigan pediatric palliative care doctors help make short lives 'a good journey',"Detroit Free Press, Jennifer Brookland, Detroit Free Press",Parenting,"Life-preserving medical technology gives parents options for keeping sick children alive. These doctors help them make the call, and share the burden.","Skip to main content
This content is only available to subscribers.
Get unlimited digital access.
Your subscription supports:
Unlimited access to subscriber only articles on desktop, tablet and m… [+1322 chars]",2023-01-08T11:00:28Z
technology,children,NewsAPI,blogTO,171 'plausible burials' found at Ontario residential school site in sad first for the province,Lauren O'Neil,In Society,"Using ground-penetrating technology, members of The Kaatagoging Survivors Group of the St. Mary's Residential School Survivor Project in Kenora, Ontario, have discovered ""at least 171 anomalies"" or ""plausible burials"" within cemetery grounds that were once as…","Using ground-penetrating technology, members of The Kaatagoging Survivors Group of the St. Mary's Residential School Survivor Project in Kenora, Ontario, have discovered ""at least 171 anomalies"" or ""… [+4552 chars]",2023-01-18T02:08:15Z
technology,children,NewsAPI,Mercola.com,This Type of Cooking Is Linked to Childhood Asthma,Dr. Mercola,In Society,"A 2023 study1 of 27 peer-reviewed manuscripts from previous studies links 1 in every 8 cases of asthma in children in the U.S. to air pollution given off by cooking on gas stoves.2 Study authors admit childhood asthma is relatively rare: According to the CDC,…","Mercola proudly supports these charities and organizations. View All 
Disclaimer: The entire contents of this website are based upon the opinions of Dr. Mercola, unless otherwise noted. Individual a… [+1007 chars]",2023-01-28T00:00:00Z
technology,children,NewsAPI,Raw Story,What you need to know about cellphone radiation,Pro Publica,Mental Health,"To many people, the notion that cellphones or cell towers might present a health risk long ago receded into a realm somewhere between trivial concern and conspiracy theory. For decades, the wireless industry has dismissed such ideas as fearmongering, and fede…","To many people, the notion that cellphones or cell towers might present a health risk long ago receded into a realm somewhere between trivial concern and conspiracy theory. For decades, the wireless … [+7771 chars]",2023-01-05T09:14:58Z
technology,children,NewsAPI,PRNewswire,"TransPerfect and Its Employees Donate 4,200 Toys to Marine Toys for Tots",,In Society,"Annual Holiday Campaign Raises $60,000 for Children in Need NEW YORK, Jan. 9, 2023 /PRNewswire/ -- TransPerfect, the world's largest provider of language and technology solutions for global business, today announced a donation of $60,000 worth of toys for the…","Annual Holiday Campaign Raises $60,000 for Children in Need
NEW YORK, Jan. 9, 2023 /PRNewswire/ -- TransPerfect, the world's largest provider of language and technology solutions for global business… [+2105 chars]",2023-01-09T16:00:00Z
technology,children,NewsAPI,Common Dreams,"When It Comes to Gas Stoves vs. Induction, I Stand With the Children",Sandra Steingraber,Mental Health,"This is an essay about the long-standing evidence that gas stoves harm children and why so many of us persist in liking them anyway. But it begins with pesticides.

When wildlife biologist Rachel Carson wrote about the dangers of DDT and 18 other synthetic pe…","This is an essay about the long-standing evidence that gas stoves harm children and why so many of us persist in liking them anyway. But it begins with pesticides.
When wildlife biologist Rachel Car… [+28265 chars]",2023-01-20T15:21:06Z
technology,children,NewsAPI,Richmond.com,'Sesame Street' co-founder Lloyd Morrisett dies at age 93,PA Media/dpa,Education,He was a pioneer of using technology to educate and reportedly the first person to consider using television to teach children basic skills.,"Los Angeles Lloyd Morrisett, the co-founder of popular children's television show ""Sesame Street,"" has died at the age of 93.
Morrisett was one of the pioneers of using technology to educate, and wa… [+2821 chars]",2023-01-25T02:00:00Z
technology,children,NewsAPI,Phys.Org,Digital technology found useful to assist toddlers with problem solving,Science X,In Society,New findings from the University of Houston may reverse some of the prevailing wisdom about the scourge of screen time and digital devices in the hands of young children. The research is the first to focus on a child under three and reveals that while digital…,New findings from the University of Houston may reverse some of the prevailing wisdom about the scourge of screen time and digital devices in the hands of young children. The research is the first to… [+4789 chars],2023-01-17T17:59:03Z
technology,children,NewsAPI,Billings Gazette,'Sesame Street' co-founder Lloyd Morrisett dies at age 93,PA Media/dpa,Education,He was a pioneer of using technology to educate and reportedly the first person to consider using television to teach children basic skills.,"Los Angeles Lloyd Morrisett, the co-founder of popular children's television show ""Sesame Street,"" has died at the age of 93.
Morrisett was one of the pioneers of using technology to educate, and wa… [+1564 chars]",2023-01-25T02:00:00Z
technology,children,NewsAPI,PRNewswire,InventHelp Inventors Develop New Vehicle Safety System (TLS-297),,In Society,"PITTSBURGH, Jan. 26, 2023 /PRNewswire/ -- ""We wanted to create a vehicle safety system to prevent children, pets and others from being inadvertently left behind in a parked car,"" said one of two inventors, from Tyler, Texas, ""so we invented LIFE SAVING TECHNO…","PITTSBURGH, Jan. 26, 2023 /PRNewswire/ -- ""We wanted to create a vehicle safety system to prevent children, pets and others from being inadvertently left behind in a parked car,"" said one of two inve… [+1146 chars]",2023-01-26T18:00:00Z
technology,children,NewsAPI,The Week Magazine,Should gas stoves be banned?,Joel Mathis,Mental Health,"Should gas stoves be banned? That may happen soon in the United States. The Consumer Protection Safety Commission wants to take action following new research that links gas stoves to childhood asthma, Bloomberg reports. ""Any option is on the table,"" Richard T…",Should gas stoves be banned? That may happen soon in the United States. The Consumer Protection Safety Commission wants to take action following new research that links gas stoves to childhood asthma… [+4587 chars],2023-01-11T11:01:08Z
technology,children,NewsAPI,The BMJ,Contemporary aetiologies of medical complexity in children: a cohort study,"Haque, B., Khan, T., Ushcatz, I., Curtis, M., Pan, A., Wu, W., Orkin, J., Costain, G.",Mental Health,"Children with medical complexity (CMC) are a priority population in paediatric medicine.1–3 CMC have at least one chronic condition, technology dependence, multiple subspecialist involvement and substantial healthcare utilisation.2 3 They account for >30% of …","Children with medical complexity (CMC) are a priority population in paediatric medicine.13 CMC have at least one chronic condition, technology dependence, multiple subspecialist involvement and subst… [+6619 chars]",2023-01-19T09:20:27Z
technology,children,NewsAPI,Roanoke Times,'Sesame Street' co-founder Lloyd Morrisett dies at age 93,PA Media/dpa,Education,He was a pioneer of using technology to educate and reportedly the first person to consider using television to teach children basic skills.,"Los Angeles Lloyd Morrisett, the co-founder of popular children's television show ""Sesame Street,"" has died at the age of 93.
Morrisett was one of the pioneers of using technology to educate, and wa… [+1564 chars]",2023-01-25T02:00:00Z
technology,children,NewsAPI,Engadget,"Seattle schools sue TikTok, Meta and other platforms over youth 'mental health crisis'",Steve Dent,Mental Health,"Seattle public schools have sued the tech giants behind TikTok, Facebook, Instagram, YouTube and Snapchat, accusing them of creating a ""mental health crisis among America's Youth."" The 91-page lawsuit filed in a US district court states that tech giants explo…","Seattle public schools have sued the tech giants behind TikTok, Facebook, Instagram, YouTube and Snapchat, accusing them of creating a ""mental health crisis among America's Youth."" The 91-page lawsui… [+3257 chars]",2023-01-09T09:06:07Z
technology,teens,NewsAPI,Forbes,"Porn Teaches Teens, Especially Guys, About Sex: Insights From Research And Long-Term Effects","Shaun Harper, Contributor, 
 Shaun Harper, Contributor
 https://www.forbes.com/sites/shaunharper/",In Society,"Nearly three-fourths of teenagers have consumed pornography, according to a new report from Common Sense, a nonprofit organization that aims to improve the impact of media and technology on kids and families.","Photo by Sina Schuldt
dpa/picture alliance via Getty Images
Most American teenagers across genders have consumed pornography, according to a new report from Common Sense, a nonprofit organization t… [+6813 chars]",2023-01-11T04:03:50Z
technology,teens,NewsAPI,Unc.edu,"How wearable, trackable tech makes driving safer for teens with ... - The University of North Carolina at Chapel Hill",bwbieltz,In Society,Technology developed by researchers in the UNC STAR Heel Performance Laboratory provided real-time feedback for teens during a study aimed at decreasing the risk of traffic crashes.,"Theres a reason the please be patient, student driver bumper sticker exists. Teenage drivers are four times as likely to be involved in a car accident when compared to adult drivers. Teens diagnosed … [+5045 chars]",2023-01-19T13:10:51Z
technology,teens,NewsAPI,Parents.com,How Will AI Like ChatGPT Change Education for Our Children?,Allison Slater Tate,Education,"Kids and teens are flocking to AI technology like ChatGPT, but what does that mean when it comes to schoolwork? One thing is for sure: AI is here to stay.","Kids and teens are flocking to AI technology like ChatGPT, but what does that mean when it comes to schoolwork? One thing is for sure: AI is here to stay.
The article you are about to read was writt… [+6295 chars]",2023-01-30T21:36:56Z
technology,teens,NewsAPI,Emergingedtech.com,Using EdTech to Support Healthy Habits in Kids and Teens,Luke Smith,In Society,"Image Source Tech advancements are inherently meant to make life easier for us. It’s only when we abuse it or become obsessed with it that it can become a toxin to our health. In today’s age, however, young students are becoming more engrossed with technology…","Image Source
Tech advancements are inherently meant to make life easier for us. Its only when we abuse it or become obsessed with it that it can become a toxin to our health. In todays age, however,… [+4839 chars]",2023-01-06T11:38:55Z
technology,teens,NewsAPI,Business Wire,Greenlight Reinvents Financial Education with Level Up — a Gamified Financial Literacy Curriculum for Kids and Teens,,In Society,"ATLANTA--(BUSINESS WIRE)--Greenlight® Financial Technology, Inc. (""Greenlight""), the fintech company on a mission to help parents raise financially-smart, independent kids, today announced the launch of Greenlight Level Up™, an interactive, curriculum-based f…","ATLANTA--(BUSINESS WIRE)--Greenlight® Financial Technology, Inc. (""Greenlight""), the fintech company on a mission to help parents raise financially-smart, independent kids, today announced the launch… [+5509 chars]",2023-01-06T14:10:20Z
technology,teens,NewsAPI,Ericgoldman.org,Section 230 Protects Services That Permit Anonymous Third-Party Posts–Bride v. Snap,Eric Goldman,In Society,"This case involves two “anonymous messaging” apps, Yolo and LMK. Both allegedly target teens audiences. “Plaintiffs allege they received harassing messages in response to their benign posts on Defendants’ applications and did not receive comparable messages o…","This case involves two “anonymous messaging” apps, Yolo and LMK. Both allegedly target teens audiences. “Plaintiffs allege they received harassing messages in response to their benign posts on Defend… [+7344 chars]",2023-01-19T18:03:48Z
technology,teens,NewsAPI,Engadget,Facebook and Instagram will limit ads targeting teens' follows and likes,Jon Fingas,In Society,"Meta is taking more steps to limit potentially harmful ad campaigns. The company is placing more restrictions on advertisers' ability to target teens. From February onward, Facebook and Instagram will no longer let marketers aim ads at teens based on gender —…","Meta is taking more steps to limit potentially harmful ad campaigns. The company is placing more restrictions on advertisers' ability to target teens. From February onward, Facebook and Instagram wil… [+1817 chars]",2023-01-10T18:16:07Z
technology,teens,NewsAPI,National Observer,Teenager Naila Moloo wants to take solar panels and bioplastics to new heights,"Patricia Lane, Naila Moloo",In Society,"This 16-year-old has published two novels and co-hosts a podcast introducing other teens to the world of STEM (science, technology, engineering and mathematics).","These in-their-own-words pieces are told to Patricia Lane and co-edited with input from the interviewee for the purpose of brevity.
Naila Moloo spends her high school vacations inventing new kinds o… [+4889 chars]",2023-01-03T11:10:06Z
technology,teens,NewsAPI,Finextra,Greenlight rolls out financial literacy game for kids and teens,Editorial Team,Education,"Greenlight Financial Technology, Inc. (“Greenlight”), the fintech company on a mission to help parents raise financially-smart, independent kids, today announced the launch of Greenlight Level Up, an interactive, curriculum-based financial literacy game.","Greenlight Financial Technology, Inc. (Greenlight), the fintech company on a mission to help parents raise financially-smart, independent kids, today announced the launch of Greenlight Level Up, an i… [+3514 chars]",2023-01-09T11:40:00Z
technology,mental health,NewsAPI,Business Insider,Online mental health company uses ChatGPT to help respond to users in experiment — raising ethical concerns around healthcare and AI technology,insider@insider.com (Bethany Biron),Mental Health,"Koko, a digital mental health nonprofit, said it used GPT-3 chatbots to help inform develop responses to 4,000 users on its peer support platform.","As ChatGPT's use cases expand, one company is using the artificial intelligence to experiment with digital mental health care, shedding light on ethical gray areas around the use of the technology. … [+4877 chars]",2023-01-07T19:34:19Z
technology,mental health,NewsAPI,Psychology Today,Self-Repair for Your Mental Health,David Spiegel M.D.,Mental Health,Digital technology is driving a welcome sea change for mental health support.,"Written By David Spiegel, with Sarah Sherwood
Traditional in-office therapy is expensive and not always convenient, potential patients often search for other options. Although in-person therapy is s… [+6230 chars]",2023-01-25T13:12:35Z
technology,mental health,NewsAPI,Axios,Social media's effects on teen mental health comes into focus,Jennifer A. Kingson,Mental Health,"Experts are increasingly warning of a connection between heavy social media use and mental health issues in children — a hot topic now driving major lawsuits against tech giants. Why it matters: Seattle Public Schools' recently filed lawsuit against TikTok, M…","Experts are increasingly warning of a connection between heavy social media use and mental health issues in children a hot topic now driving major lawsuits against tech giants. 
Why it matters: Seat… [+4637 chars]",2023-01-11T10:45:34Z
technology,mental health,NewsAPI,Independent,Voices: How to stop technology harming your child’s mental health,Lily-Jo,Mental Health,"I’ve been a counsellor in the NHS for 12 years; as a mental health professional and a parent, I would be foolish not to acknowledge the connections between today’s overwhelmingly online culture, and mental health problems","Sign up for the View from Westminster email for expert analysis straight to your inbox
Get our free View from Westminster email
Children today have never been offline. Almost from the womb that fir… [+4865 chars]",2023-01-21T13:40:07Z
technology,mental health,NewsAPI,Yahoo Entertainment,Continued mental health support and increased need for virtual services key trends for group benefits in 2023,CNW Group,Mental Health,"Continued mental health support, increased need for access to health care services, customer experience improvements driven by technology, and a heightened...","Uncertain economic environment also remains a concern
KINGSTON, ON, Feb. 2, 2023 /CNW/ - Continued mental health support, increased need for access to health care services, customer experience impro… [+4317 chars]",2023-02-02T18:23:00Z
technology,mental health,NewsAPI,Metafilter.com,Ad Astra Machina,clavdivs,Mental Health,"""I'm not threatened in my career by A.I."" psychologist Jim Picano explains. Though, 'Online mental health company uses ChatGPT to help respond to users in experiment — raising ethical concerns around healthcare and AI technology.""
(via Mastodon)",MetaFilter is a weblog that anyone can contribute a link or a comment to. A typical weblog is one person posting their thoughts on the unique things they find on the web. This website exists to break… [+120 chars],2023-01-08T05:44:20Z
technology,mental health,NewsAPI,Post Magazine,"Rise in US study apps leads to concern over racism, LGBTQ rights, privacy","Thomson Reuters Foundation, Thomson Reuters Foundation",In Society,"Technology can monitor online activity, social media posts and more, to keep youngsters focused, detect mental health issues and flag potential for violence – but are such apps always a force for good?","Published: 2:00am, 26 Jan, 2023
Updated: 2:00am, 26 Jan, 2023",2023-01-25T18:00:08Z
technology,mental health,NewsAPI,National Institutes of Health,Using Just-in-Time Adaptive Interventions to Optimize Established Adolescent Mental Health Treatments (R61/R33 Clinical Trial Required),,Mental Health,Funding Opportunity RFA-MH-23-170 from the NIH Guide for Grants and Contracts. The proposed FOA would solicit applications focused on enhancing the potency of established adolescent mental health treatments through the use of developmentally informed and theo…,"Participating Organization(s) 
National Institutes of Health (NIH)
Components of Participating Organizations 
National Institute of Mental Health (NIMH) 
Funding Opportunity Title 
Using Just-in… [+80652 chars]",2023-01-12T17:45:51Z
technology,mental health,NewsAPI,VOA News,"As Children in US Study Online, Apps Watch Their Every Move",webdesk@voanews.com (Thomson Reuters Foundation),Education,"For New York teacher Michael Flanagan, the pandemic was a crash course in new technology — rushing out laptops to stay-at-home students and shifting hectic school life online.


Students are long back at school, but the technology has lived on, and with it ha…","Washington  For New York teacher Michael Flanagan, the pandemic was a crash course in new technology rushing out laptops to stay-at-home students and shifting hectic school life online.
Students are… [+6328 chars]",2023-01-29T08:00:46Z
technology,mental health,NewsAPI,Mercola.com,This Type of Cooking Is Linked to Childhood Asthma,Dr. Mercola,Mental Health,"A 2023 study1 of 27 peer-reviewed manuscripts from previous studies links 1 in every 8 cases of asthma in children in the U.S. to air pollution given off by cooking on gas stoves.2 Study authors admit childhood asthma is relatively rare: According to the CDC,…","Mercola proudly supports these charities and organizations. View All 
Disclaimer: The entire contents of this website are based upon the opinions of Dr. Mercola, unless otherwise noted. Individual a… [+1007 chars]",2023-01-28T00:00:00Z
technology,mental health,NewsAPI,Slashdot.org,Facebook and Instagram will limit ads targeting teens' follows and likes,feedfeeder,In Society,"Meta is taking more steps to limit potentially harmful ad campaigns. The company is placing more restrictions on advertisers' ability to target teens. From February onward, Facebook and Instagram will no longer let marketers aim ads at teens based on gender —…","Meta is taking more steps to limit potentially harmful ad campaigns. The company is placing more restrictions on advertisers' ability to target teens. From February onward, Facebook and Instagram wil… [+1819 chars]",2023-01-10T18:34:05Z
technology,(K-12 OR schools),NewsAPI,Business Insider,New York City schools ban use of ChatGPT — becoming first US district to block AI technology as concern over cheating and plagiarism mounts,insider@insider.com (Bethany Biron),Education,"The ban, set by the nation's largest school district, could help set precedent around the country as educators speak out against the technology.","As concern over ChatGPT grows in the education sector, New York City schools are now prohibiting use of the experimental artificial intelligence bot for students and teachers.
The New York City Depa… [+2113 chars]",2023-01-06T18:32:37Z
technology,(K-12 OR schools),NewsAPI,New Scientist,Should schools ban ChatGPT or embrace the technology instead?,Jeremy Hsu,Education,School districts and universities are banning the ChatGPT AI that writes in a human-like fashion but some teachers say a better approach may be to incorporate it into the curriculum,"By Jeremy Hsu
ChatGPT is freely available for anyone to use online
Iryna Khabliuk/Alamy
Schools and educational institutions in the US and elsewhere are announcing bans on the recently released AI… [+396 chars]",2023-01-12T20:58:18Z
technology,(K-12 OR schools),NewsAPI,Slashdot.org,NYC Bans Students and Teachers From Using ChatGPT,BeauHD,Education,"An anonymous reader quotes a report from CNBC: New York City's education department has banned access to ChatGPT, a chatbot that uses machine learning to craft realistic text, out of concern for ""safety and accuracy."" As first reported by Chalkbeat New York, …","An anonymous reader quotes a report from CNBC: New York City's education department has banned access to ChatGPT, a chatbot that uses machine learning to craft realistic text, out of concern for ""saf… [+1526 chars]",2023-01-04T23:25:00Z
technology,(K-12 OR schools),NewsAPI,The Christian Science Monitor,Robot pals and AI tools: What's ahead for tech in the classroom? - The Christian Science Monitor,Jackie Valley,Education,The Monitor’s K-12 education reporter visited the recent CES show in Las Vegas to see how the technology on display and educator needs match up.,"The gadgetry at the CES show in Las Vegas including charming companion robots and comfortable headsets is a nod to the ever-changing technology landscape in K-12 education.
Schools once tiptoeing to… [+7972 chars]",2023-01-10T21:50:55Z
technology,(K-12 OR schools),NewsAPI,Windows.com,Lenovo refreshes its education portfolio for hybrid learning with Windows 11 laptops,"Athima Chansanchai, Writer",Education,"Though schools have returned to in-person learning, that doesn’t erase the digital paradigm shift that was brought on by the pandemic. At the Future of Education Technology Conference in New Orleans, Lenovo announced refreshed and new solutions aim
The post L…","Though schools have returned to in-person learning, that doesnt erase the digital paradigm shift that was brought on by the pandemic. At the Future of Education Technology Conference in New Orleans, … [+2510 chars]",2023-01-25T17:00:26Z
technology,(K-12 OR schools),NewsAPI,Krsl.com,Nex-Tech 2022 Football Donation Campaign Supports Area High ... - KRSL,,Education,"Nex-Tech, a leader in broadband and technology, is an avid supporter of community, education and athletics, and is giving back to area high schools through a cumulative donation of $5,960 amongst 30 schools.","Nex-Tech, a leader in broadband and technology, is an avid supporter of community, education and athletics, and is giving back to area high schools through a cumulative donation of $5,960 amongst 30 … [+1151 chars]",2023-01-12T16:49:03Z
technology,(K-12 OR schools),NewsAPI,Biztoc.com,Video: How Elon Musk's Twitter drama impacts Tesla and how ChatGPT can be useful to students on Nightcap,cnn.com,Education,"CNN's Allison Morrow tells ""Nightcap's"" Jon Sarlin that Elon Musk's Twitter antics are damaging Tesla's brand. Plus, high school teacher Cherie Shields argues that ChatGPT is an excellent teaching tool and schools are making a mistake if they ban the AI techn…","CNN's Allison Morrow tells ""Nightcap's"" Jon Sarlin that Elon Musk's Twitter antics are damaging Tesla's brand. Plus, high school teacher Cherie Shields argues that ChatGPT is an excellent teaching to… [+274 chars]",2023-01-26T23:46:06Z
technology,(K-12 OR schools),NewsAPI,Yahoo Entertainment,Collegiate High Schools to Launch Biomedical Engineering Technology Academy,PR Newswire,Education,St. Petersburg Collegiate High Schools will open a new academy devoted to biomedical engineering technology (BMET) at the St. Petersburg College Tarpon...,"ST. PETERSBURG, Fla., Jan. 4, 2023 /PRNewswire/ -- St. Petersburg Collegiate High Schools will open a new academy devoted to biomedical engineering technology
 (BMET) at the St. Petersburg College T… [+2703 chars]",2023-01-04T19:00:00Z
technology,(K-12 OR schools),NewsAPI,The Guardian,"Australia lagging behind on AI learning tech for classrooms, report suggests",Caitlin Cassidy,Education,"Outdated policy is hindering use of edtech that can be used to improve learning outcomes, particularly for disadvantaged students, expert says<ul><li>Get our morning and afternoon news emails, free app or daily news podcast</li></ul>Australian schools are “fl…","Australian schools are flying blind and lagging globally on the use of artificial technology in classrooms, the author of a recent report on edtech has argued.
Leslie Loble, industry professor at th… [+4589 chars]",2023-01-10T14:00:13Z
